,source,target,edge
0,ClinicalTrials.gov,data,processed
1,Theresearchers,patients,recruit
2,ClinicalTrials.gov,data,processed
3,binge,disorders,Obese patients with
4,Criteria:-patients,lockdown period,experiment
5,ClinicalTrials.gov,data,processed
6,ClinicalTrials.gov,data,processed
7,Information,medication,includes
8,Parent,<16 years,Inclusion Criteria:-Children part
9,ClinicalTrials.gov,data,processed
10,ClinicalTrials.gov,data,processed
11,second swab,afterfor use,taken
12,consentthe research team,anonymised data case record form,complete
13,ClinicalTrials.gov,data,processed
14,ClinicalTrials.gov,data,processed
15,short term mortality,greatest potential toimprove outcomes,has
16,Known clinically suspected elevated intracranial pressure,strict control,necessitating
17,Patient,ECMO,receiving
18,ClinicalTrials.gov,data,processed
19,Inclusion Criteria:-Men,18 to 75 years,aged
20,ClinicalTrials.gov,data,processed
21,the World Health Organization,pandemic,declaredCOVID-19
22,ClinicalTrials.gov,data,processed
23,A Feasibility Study,design,has
24,ClinicalTrials.gov,data,processed
25,blood samples,Serological microbiological samples,collected within
26,ClinicalTrials.gov,data,processed
27,investigators,HCPs,define
28,investigators,physiological markers,evaluate
29,suicidal,pre - enrollment)-Previous instruction,survey
30,ClinicalTrials.gov,data,processed
31,COVID-19 pandemic prevention strategise,family lives,impacted
32,ClinicalTrials.gov,data,processed
33,China,use,recentlyapproved
34,Inclusion Criteria:-Males,> 18 years;-Patients,aged
35,ClinicalTrials.gov,data,processed
36,patients,theirvisual acuity,proposed for
37,EHR)and,password protected deidentified Excel document,collected from
38,ClinicalTrials.gov,data,processed
39,Renin,angiotensinogen,stimulates
40,studies,Angiotensin II,shown
41,ClinicalTrials.gov,data,processed
42,signs,inflammatory response activation,prescribed for
43,ClinicalTrials.gov,data,processed
44,Investigators,Project,start
45,Investigators,random permuted block size,use
46,patient population,adult patient,include
47,patients,access,get
48,Investigators,patient,refer
49,patients,access,get
50,Investigators,patient,contact
51,dietician,protein rich nutrition supplements,prescribe
52,Investigators,patient,refer
53,patients,access,get
54,patients,elevated risk score,have
55,Investigators,patient,refer
56,patients,access,get
57,ClinicalTrials.gov,data,processed
58,ClinicalTrials.gov,data,processed
59,the COVID-19 Outbreak,world transition,made
60,COACH,health directed behaviour,improve
61,ClinicalTrials.gov,data,processed
62,ClinicalTrials.gov,data,processed
63,Post - intervention measurements,place,take
64,ClinicalTrials.gov,data,processed
65,Patients,following criteria,be
66,The Program of All-Inclusive Care for the Elderly,comprehensive medical andsupportive services,provides
67,ClinicalTrials.gov,data,processed
68,ClinicalTrials.gov,data,processed
69,Patients,fourto hour treatment,receive
70,device,signs,returned to
71,Established central access,recent hemodialysis,received
72,Biopsy,cancer,proven
73,ClinicalTrials.gov,data,processed
74,Laboratory,infection,confirmed
75,ClinicalTrials.gov,data,processed
76,donationCollected plasma,procedures,undergo
77,ClinicalTrials.gov,data,processed
78,federal government,tocontrol,implemented
79,ClinicalTrials.gov,data,processed
80,tobacco use,damage tothe cardiovascular respiratory systems,cause
81,Inclusion Criteria:-Hong Kong resident,25,aged
82,ClinicalTrials.gov,data,processed
83,size,approach,recognized
84,Exploratory Clinical Study,health,poses
85,Albumin,6000.v,assessedusing
86,ClinicalTrials.gov,data,processed
87,Theinvestigation,effectiveness,testing
88,ClinicalTrials.gov,data,processed
89,Potentialparticipants,letter,receive
90,study questionnaire,following:1,include
91,ClinicalTrials.gov,data,processed
92,ClinicalTrials.gov,data,processed
93,reduction,proportion ofpatients,determine
94,ClinicalTrials.gov,data,processed
95,Group B,intervention,receive
96,ClinicalTrials.gov,data,processed
97,60 participants,hospital stay,whohave
98,investigators,investigators,arrange
99,MRI scan,60-70 minutes,take
100,investigators,participants,ask
101,ClinicalTrials.gov,data,processed
102,ClinicalTrials.gov,data,processed
103,Coronavirus,protective ventilation,requires
104,detection,pressure volume curve,need
105,Berlin criteria,EIT,equipped
106,ClinicalTrials.gov,data,processed
107,Nationwide Prospective Study,critical information,provide
108,ClinicalTrials.gov,data,processed
109,Coronavirus crisis,disturbance,caused
110,pediatric dentistry coursecoordinators,modifications,made
111,ClinicalTrials.gov,data,processed
112,Participants,survey link,alsoreceived
113,ClinicalTrials.gov,data,processed
114,Sinus Rinse,Viral Load,Reduce
115,arm,number,have
116,trial,endedfor,have
117,ClinicalTrials.gov,data,processed
118,ClinicalTrials.gov,data,processed
119,ClinicalTrials.gov,data,processed
